name|description|image_url|product_url|year
Djuinostar High Performance Top|Djuinostar makes the best high performance tops. This small, silver, stainless steel top is machined for long spins. Try to set a record over five minutes and then challenge your friends and family!|djuinostar-top.jpg|https://www.amazon.com/dp/B07R32G2FN|2020
Speevers Xballs Juggling Balls|Speevers creates high to professional quality juggling balls. This set of three, 4.2oz black and white balls is soft, well balanced, and durable. Learn to juggle or teach someone close to you!|speevers-juggling-balls.jpg|https://www.amazon.com/dp/B0755CH55Z|2020
Six Shot Nerf Gun|You'll shoot your eye out. I recommend buying extra darts for this six shot rotating barrel Nerf gun that can launch darts 27 meters. Annoy your roommates!|nerf-gun.jpg|https://www.amazon.com/dp/B00DW1JT5G|2020
SGILE RC Stunt Car|Drive this indestructible SGILE stuntcar around inside or out. It flips, it spins, it breakdances, and it drives at up to 15km/hour!|sgile-rc-car.jpg|https://www.amazon.com/dp/B07D166KM2|2020
Stomp Rocket Launcher|Stomp rockets up to 200 feet in the air using this air powered rocket launcher. You'll never find them! But luckily there are six.|stomp-rocket.jpg|https://www.amazon.com/dp/B004OY9EGO|2020
Pandemic Board Game|Relive 2020...but fun? Think you could do better than the government? Prove it by playing the Pandemic board game.|pandemic-board-game.jpg|https://www.amazon.com/dp/B00A2HD40E|2020
Zooshine Metal Brain Puzzles|18 metal brain teaser puzzles in a convenient box. Are you smart? This is the definitive test and nobody can take that away from you.|zooshine-brain-puzzles.jpg|https://www.amazon.com/dp/B01CNSRPRW|2020
Fuck I'm Bored Book|Too good for the other gifts? Get this adult activity book with all kinds of different puzzles to do while you refuse to be social.|fuck-im-bored-book.jpg|https://www.amazon.com/dp/1983530697|2020
Yazhiji Temporary Tattoos|60 pages of black and white temporary tattoos. There are birds, flowers, bugs, and many other designs. Confuse your grandmother!|yazhiji-temp-tattoos.jpg|https://www.amazon.com/dp/B08H7XF9CQ|2020
Tibetan Singing Bowl|Rub this authentic tibetan singing bowl and instantly become relaxed. Comes with bowl, striker, and dampening pillow. Annoyed by your family or neighbors? Retreat into your own mind (or annoy them with this).|tibetan-singing-bowl.jpg|https://www.amazon.com/dp/B00XEV4WYM|2020
GDB Mini Arcade|This mini arcade cabinet comes with 200 classic arcade games like Foosbal Champ and Crazy Fighter. You won't recognize a single game, but boy are there a lot to try out! Put on your glasses because this screen has at least 25 pixels.|mini-arcade-cabinet.jpg|https://www.amazon.com/dp/B0719JD7KH|2020
Googly Eyes|There are 1680 multi-colored googly eyes in this box, each with a peel off sticker for easy application. You'll never need googly eyes again. Put them on your appliances and pretend you still have a social life!|googly-eyes.jpg|https://www.amazon.com/dp/B07VCHQ8H2|2020
Donate $20|If you pick this option, I will donate $20 to a charity of my choice. Maybe it will go to abortion or the gays! Leave a message if you want me to consider your suggested charity.|holt-fun.jpg|Write it down|2020
OXO Full Silicone Spatula|OXO makes tons of our favorite kitchen products. The full silicone handle makes it heat resistant from top to bottom, so no more melted plastic!|oxo-silicone-spatula.jpg|https://www.amazon.com/dp/B082WMFQSL|2021
Escali Lightweight Kitchen Scale|This scale comes in multiple colors to match your kitchen. If you are tired of washing measuring spoons, start using a kitchen scale instead! And if you struggle with counting calories, I guarantee that using this and myfitnesspal will help.|kitchen-scale.jpg|https://www.amazon.com/dp/B0007GAWTG/|2021
Digital Instant Read Meat Thermometer|Stop guessing in the kitchen! This thermometer is fast and accurate, with a magnet for quick access.|instant-thermometer.jpg|https://www.amazon.com/dp/B00GRFHXVQ|2021
Knife Sharpener|Yes, this actually works. No, your sharpening rod doesn't work. You know your knives are dull, just pick this up and get to grinding!|knife-sharpener.jpg|https://www.amazon.com//dp/B001CQTLJM|2021
The Food Lab Cookbook|Your new favorite recipes are in this cookbook. Each recipe comes with explanations and instructions on prep skills, ingredients, and improving your cooking.|the-food-lab-cookbook.jpg|https://www.amazon.com/dp/0393081087|2021
Tea Kettle|Oi mate stop microwavin' your water, it's bad innit? Get some real tea and heat it oop in 60 seconds. Also good for quickly boiling water.|tea-kettle.jpg|https://www.amazon.com/dp/B07PHRH6TL|2021
Nalgene Water Bottle|You're just so thirsty, buy this and guzzle some H20 and let it just drip all over you.|nalgene.jpg|https://www.amazon.com/dp/B001NCDE98|2021
OXO POP Containers|Be careful getting these, they are addictive! Storage for your baking products, nuts, grains, candies, and everything else in your kitchen.|oxo-pop-storage.jpg|https://www.amazon.com/dp/B07MYYXW9V|2021
OXO Poultry Shears|Not just for poultry! These are very powerful, and very sharp. If you'd like to up your soup game with stock from scratch, or need bone pieces for any other reason (no murders please), these will work great.|oxo-poultry-shears.jpg|https://www.amazon.com/dp/B000PGG7ZQ|2021
12-Piece Tupperware|These tupperware make me happy, they are so nice and clean. As simple as that.|rubbermaid-tupperware.jpg|https://www.amazon.com/dp/B01E07L43A|2021
OXO Scrub Brush|What are you sponsored by OXO or something? Seriously if you still use a sponge wtf is wrong with you.|oxo-scrub-brush.jpg|https://www.amazon.com/dp/B00004OCIZ|2021
Donate $25|If you pick this option, I will donate $25 to a charity of my choice, and it will be matched another $25 for a total of $50.|roast-vegetable-meme.jpg|https://www.thetrevorproject.org|2021
Pet Hair Remover Brush|Used by professional cleaners, this rubber brush quickly clears pet fur off of cloth, and is easily cleanable.|yudiwadi-pet-hair-remover.jpg|https://www.amazon.com/dp/B084TP2VCD/|2022
